symbol,time_utc,horizon,bars,entry,exit,pnl_pct,pnl_at_signal_close,mfe_pct,mae_pct,bias
TST/USDT,2026-08-09 00:50,4h,48,0.01622,0.01798,-10.850801479654756,-10.850801479654756,2.589395807644863,28.48335388409373,17.0
TST/USDT,2026-08-09 00:50,8h,96,0.01622,0.01623,-0.06165228113442086,-0.06165228113442086,6.473489519112201,28.48335388409373,17.0
TST/USDT,2026-08-09 00:50,12h,144,0.01622,0.01618,0.24660912453759787,0.24660912453759787,9.556103575832292,28.48335388409373,17.0
TST/USDT,2026-08-09 03:15,15m,3,0.01938,0.01876,3.19917440660476,3.149199793495093,4.48916408668732,0.4643962848297203,30.94
TST/USDT,2026-08-09 03:15,30m,6,0.01938,0.01868,3.6119711042311797,3.5622096024780574,5.572755417956662,0.4643962848297203,30.94
TST/USDT,2026-08-09 03:15,1h,12,0.01938,0.0178,8.152734778121783,8.10531750129065,8.978328173374623,0.4643962848297203,30.94
TST/USDT,2026-08-09 03:15,2h,24,0.01938,0.01727,10.887512899896803,10.841507485802778,11.713106295149645,0.4643962848297203,30.94
TST/USDT,2026-08-09 03:15,4h,48,0.01938,0.01661,14.293085655314766,14.24883840991223,20.175438596491237,4.643962848297203,30.94
TST/USDT,2026-08-09 03:15,8h,96,0.01938,0.01644,15.170278637770906,15.126484254001028,24.30340557275542,4.643962848297203,30.94
TST/USDT,2026-08-09 03:15,12h,144,0.01938,0.01604,17.234262125903005,17.191533298915846,24.30340557275542,4.643962848297203,30.94
TST/USDT,2026-08-09 03:45,15m,3,0.01868,0.0183,2.034261241970013,2.034261241970013,5.5674518201284755,0.37473233404711254,30.94
TST/USDT,2026-08-09 03:45,30m,6,0.01868,0.0178,4.710920770877938,4.710920770877938,5.5674518201284755,0.37473233404711254,30.94
TST/USDT,2026-08-09 03:45,1h,12,0.01868,0.01786,4.389721627408982,4.389721627408982,5.5674518201284755,2.623126338329769,30.94
TST/USDT,2026-08-09 03:45,2h,24,0.01868,0.01787,4.3361884368308266,4.3361884368308266,8.67237687366167,2.623126338329769,30.94
TST/USDT,2026-08-09 03:45,4h,48,0.01868,0.01702,8.886509635974296,8.886509635974296,17.987152034261232,8.565310492505358,30.94
TST/USDT,2026-08-09 03:45,8h,96,0.01868,0.0168,10.06423982869379,10.06423982869379,21.466809421841532,8.565310492505358,30.94
TST/USDT,2026-08-09 03:45,12h,144,0.01868,0.01635,12.473233404710914,12.473233404710914,21.466809421841532,8.565310492505358,30.94
