day,symbol,time_utc,price,bias,line_val,sma14,close_break_pct,neck_chg_pct,span,vol_ratio,sma25,sma99,dist_ma99_pct,sma200,dist_ma200_pct,sma200_slope_pct,entry,reclaim_3,pnl_15m,pnl_30m,pnl_1h,pnl_2h,pnl_4h,pnl_8h,pnl_12h,sma200_15,dist_ma200_15m_pct
2026-08-08,BEAT/USDT,2026-08-08 11:10,2.511,20.08,2.5485,2.535571,1.86,-0.7,8,6.66,2.49656,2.24403,11.9,2.179735,15.2,2.426,2.512,True,6.727707006369428,4.259554140127396,0.3980891719745315,-3.861464968152865,-7.285031847133751,-12.93789808917198,-13.017515923566878,2.1101,19.0
2026-08-08,BEAT/USDT,2026-08-08 11:55,2.472,22.17,2.511444,2.462071,2.65,-1.33,9,7.38,2.49532,2.271606,8.82,2.193455,12.7,2.137,2.472,False,-1.2135922330097009,-3.1957928802589066,-1.0922330097087434,-7.241100323624589,-10.639158576051775,-19.45792880258899,-15.493527508090615,2.12017,16.59
2026-08-08,CYS/USDT,2026-08-08 10:45,1.0832,24.49,1.1075,1.1412,6.91,-4.77,13,8.93,1.136284,1.033263,4.83,0.980208,10.51,3.539,1.0832,False,11.050590841949772,17.106720827178723,22.128877400295412,22.368906942392908,24.51070901033973,12.343057607090097,13.035450516986707,0.858356,26.19
2026-08-08,RE/USDT,2026-08-08 14:15,0.4302,14.12,0.438844,0.442407,2.22,-5.15,18,9.4,0.453648,0.43871,-1.94,0.420033,2.42,2.07,0.4302,False,-0.23245002324500252,-0.9762900976290054,-1.5109251510925035,-2.789400278940017,-1.4644351464435081,3.2775453277545328,6.183170618317065,0.401218,7.22
2026-08-09,BEAT/USDT,2026-08-09 04:15,2.871,19.87,3.043,2.966786,6.77,-2.69,17,7.83,3.07548,2.932818,-2.11,2.812325,2.09,2.52,2.87,False,-1.9860627177700325,-1.5331010452961686,-3.55400696864111,-8.850174216027874,-13.623693379790941,-12.9965156794425,-20.034843205574905,2.364435,21.42
2026-08-09,MUBARAK/USDT,2026-08-09 07:55,0.01788,24.61,0.018272,0.018137,2.8,-3.32,26,5.25,0.017942,0.01666,7.32,0.016001,11.75,2.299,0.01789,True,-0.11179429849077242,-2.179988820570159,-8.049189491335945,-6.036892118501962,-9.614309670206815,-22.470653996646167,-33.482392397987695,0.014565,22.76
2026-08-09,TST/USDT,2026-08-09 00:50,0.01622,17.0,0.016304,0.016538,0.95,-4.49,18,6.36,0.016569,0.015887,2.1,0.015323,5.85,2.644,0.01622,True,2.3427866831072652,-4.99383477188657,-6.84340320591864,-14.241676942046876,-10.850801479654756,-0.06165228113442086,0.24660912453759787,0.013566,19.56
2026-08-09,XAN/USDT,2026-08-09 05:50,0.015279,8.16,0.015269,0.015428,0.34,-1.86,13,9.97,0.015389,0.014869,2.76,0.014624,4.48,0.815,0.015279,True,-0.7133974736566625,-0.9555599188428582,-3.167746580273579,-9.745402186006954,-14.948622292034816,-12.841154525819753,-26.91930100137444,0.014315,6.73
2026-08-10,CAP/USDT,2026-08-10 07:55,0.05042,26.99,0.050555,0.050701,1.26,-3.86,19,8.35,0.051434,0.048078,4.87,0.043821,15.06,3.441,0.05041,True,7.002578853402112,7.974608212656224,7.994445546518558,5.73298948621306,10.275738940686379,12.398333663955574,12.61654433644119,0.03984,26.56
2026-08-10,CYS/USDT,2026-08-10 14:35,1.1191,23.71,1.163989,1.098514,7.53,-9.37,19,8.12,1.153964,1.058893,5.69,1.051695,6.41,0.195,1.1188,False,-0.7954951734000633,-0.34858777261351576,-3.655702538434031,-2.9585269932069993,-12.200572041473013,-12.379335001787634,,0.969223,15.46
2026-08-10,GUA/USDT,2026-08-10 16:35,0.05755,61.14,0.057293,0.063982,0.86,-13.73,11,5.7,0.064085,0.05388,6.81,0.046022,25.05,7.405,0.05756,True,-10.128561501042393,2.97081306462822,4.06532314107019,6.949270326615699,8.773453787352326,,,0.039256,46.6
2026-08-10,HOME/USDT,2026-08-10 17:30,0.010486,26.98,0.010891,0.011385,4.46,-7.61,17,5.75,0.011464,0.010124,3.58,0.009784,7.18,3.375,0.010486,False,-0.5912645432004535,0.39099752050353903,1.4590883082204877,5.245088689681481,10.328056456227356,,,0.009419,11.33
2026-08-10,PUMP/USDT,2026-08-10 01:20,0.002751,5.92,0.002776,0.002767,0.98,-0.25,8,7.97,0.002731,0.002699,1.91,0.002653,3.68,1.054,0.002751,False,0.6906579425663366,1.672119229371139,2.435478007997084,0.43620501635768294,-2.4718284260268963,-1.7448200654307477,1.962922573609589,0.002461,11.77
2026-08-10,SNXX/USDT,2026-08-10 14:40,9.58,9.63,9.588,9.602857,1.02,-2.81,5,26.12,9.304,9.187475,4.27,9.19305,4.21,0.016,9.58,True,1.565762004175369,0.9394572025052178,0.41753653444677374,-1.2526096033402843,-1.565762004175369,1.9832985386221242,,9.1897,4.25
2026-08-10,TST/USDT,2026-08-10 00:55,0.01909,28.86,0.018996,0.020827,0.03,-12.67,13,8.53,0.021186,0.020146,-5.24,0.0181,5.47,2.732,0.01911,True,-2.3024594453166034,-0.8895866038723184,-1.0989010989011088,4.343275771847187,3.976975405546818,-6.070120355834649,-25.79801151229723,0.016241,17.54
2026-08-10,XAN/USDT,2026-08-10 00:20,0.020928,21.76,0.021987,0.021824,5.55,-1.28,7,6.24,0.021295,0.020023,4.52,0.018915,10.64,3.707,0.020929,True,-4.634717377801131,-7.850351187347693,3.053179798365907,37.93301161068374,36.93439724783792,39.648334846385396,40.24081418127956,0.016035,30.52
2026-08-10,龙虾/USDT,2026-08-10 13:05,0.031285,51.79,0.03334,0.03121,8.07,-0.89,21,6.21,0.031288,0.026256,19.15,0.023346,34.0,5.078,0.03128,False,-2.1579283887467873,-1.7774936061381104,5.828005115089519,9.379795396419444,8.785166240409218,7.611892583120208,,0.022653,38.1
